id;id_licenza;tipologia;descrizione;data_scadenza
1;15950;Factors Future invoice;distributed;2020-05-05
2;26469;indexing SDD;deposit connect proactive;2020-05-06
3;68816;Movies;New Jersey payment red;2020-05-06
4;98964;index Buckinghamshire Personal Loan Account;Assurance matrix;2020-05-06
5;11893;Generic;Savings Account Home Loan Account Burgs;2020-05-05
6;79842;Buckinghamshire compress;Investor;2020-05-06
7;57765;Orchestrator;reinvent Credit Card Account West Virginia;2020-05-05
8;32778;generating grey;Functionality;2020-05-05
9;44294;extensible;recontextualize;2020-05-06
10;7463;Green Nuevo Sol;SMS Corporate;2020-05-06
